"1","Monthly","Not Delivered","1981-01-03",
"2","Monthly","Delivered","1993-11-08",
"3","Onetime","Delivered","2019-06-01",
"4","Onetime","Delivered","2013-07-27",
"5","Annualy","Delivered","1993-02-23",
"6","Onetime","Not Delivered","2016-12-26",
"7","Annualy","Delivered","1977-07-31",
"8","Onetime","Delivered","1992-07-29",
"9","Onetime","Delivered","1999-07-04",
"10","Onetime","Not Delivered","1996-12-24",
"11","Monthly","Delivered","2010-04-11",
"12","Monthly","Delivered","1970-05-09",
"13","Annualy","Delivered","2004-07-16",
"14","Annualy","Not Delivered","2017-03-28",
"15","Onetime","Delivered","2014-07-09",
"16","Annualy","Delivered","2011-07-18",
"17","Annualy","Delivered","2016-01-22",
"18","Monthly","Not Delivered","1991-03-16",
"19","Onetime","Delivered","2014-05-10",
"20","Monthly","Delivered","2003-11-18",
"21","Onetime","Delivered","1975-12-11",
"22","Monthly","Delivered","1977-04-16",
"23","Monthly","Not Delivered","1988-09-20",
"24","Onetime","Delivered","1997-07-14",
"25","Monthly","Delivered","1985-05-05",
"26","Annualy","Delivered","1979-02-10",
"27","Annualy","Not Delivered","1973-12-28",
"28","Annualy","Delivered","1983-06-07",
"29","Monthly","Delivered","2009-09-04",
"30","Annualy","Not Delivered","1990-11-01",
"31","Monthly","Delivered","1994-11-13",
"32","Onetime","Delivered","1971-09-24",
"33","Onetime","Delivered","2010-09-18",
"34","Annualy","Not Delivered","1988-10-23",
"35","Onetime","Not Delivered","1975-06-30",
"36","Annualy","Not Delivered","1994-05-01",
"37","Monthly","Delivered","2001-04-07",
"38","Monthly","Delivered","2016-08-23",
"39","Onetime","Delivered","1988-03-31",
"40","Onetime","Delivered","2007-11-21",
"41","Annualy","Not Delivered","2002-01-04",
"42","Monthly","Delivered","1985-03-05",
"43","Annualy","Delivered","1993-10-26",
"44","Onetime","Delivered","1996-10-30",
"45","Monthly","Delivered","1984-01-31",
"46","Onetime","Not Delivered","2007-03-17",
"47","Annualy","Not Delivered","1995-06-23",
"48","Onetime","Delivered","1981-09-09",
"49","Onetime","Delivered","2011-08-15",
"50","Annualy","Not Delivered","2012-03-28",
"51","Monthly","Delivered","2003-10-19",
"52","Monthly","Not Delivered","1995-10-12",
"53","Annualy","Not Delivered","1983-08-14",
"54","Onetime","Delivered","2013-08-05",
"55","Onetime","Delivered","1981-08-24",
"56","Annualy","Delivered","1995-05-20",
"57","Annualy","Not Delivered","2008-07-06",
"58","Annualy","Delivered","1995-04-08",
"59","Onetime","Not Delivered","1981-12-04",
"60","Onetime","Not Delivered","2007-07-17",
"61","Onetime","Not Delivered","1999-08-29",
"62","Annualy","Not Delivered","1991-12-27",
"63","Monthly","Delivered","1977-11-01",
"64","Monthly","Not Delivered","1986-03-29",
"65","Annualy","Delivered","1984-05-03",
"66","Monthly","Not Delivered","1980-07-02",
"67","Onetime","Not Delivered","1987-09-21",
"68","Annualy","Not Delivered","2017-09-28",
"69","Monthly","Delivered","2019-09-16",
"70","Onetime","Not Delivered","2012-01-16",
"71","Annualy","Not Delivered","1977-02-24",
"72","Monthly","Delivered","2013-02-25",
"73","Annualy","Not Delivered","1993-06-09",
"74","Monthly","Delivered","1990-06-11",
"75","Monthly","Delivered","1994-02-15",
"76","Annualy","Delivered","2008-08-14",
"77","Monthly","Delivered","1976-08-30",
"78","Annualy","Not Delivered","1976-11-13",
"79","Monthly","Delivered","1980-06-01",
"80","Annualy","Not Delivered","1976-01-15",
"81","Monthly","Delivered","2012-06-13",
"82","Monthly","Delivered","1992-03-27",
"83","Annualy","Not Delivered","1993-07-23",
"84","Onetime","Delivered","1998-05-01",
"85","Monthly","Not Delivered","1991-02-15",
"86","Annualy","Delivered","2017-08-01",
"87","Annualy","Delivered","1993-02-15",
"88","Onetime","Not Delivered","1975-09-02",
"89","Monthly","Not Delivered","1995-07-16",
"90","Onetime","Delivered","1997-03-14",
"91","Monthly","Not Delivered","1980-05-21",
"92","Monthly","Delivered","1990-10-03",
"93","Monthly","Not Delivered","1982-02-15",
"94","Monthly","Delivered","1980-12-09",
"95","Annualy","Delivered","2002-05-29",
"96","Onetime","Delivered","1984-03-06",
"97","Onetime","Delivered","2004-03-16",
"98","Onetime","Not Delivered","1993-01-11",
"99","Annualy","Not Delivered","2013-08-29",
"100","Monthly","Not Delivered","1974-01-02",
"101","Onetime","Not Delivered","1974-12-07",
"102","Monthly","Not Delivered","1982-05-19",
"103","Annualy","Delivered","2002-03-25",
"104","Annualy","Delivered","2003-11-30",
"105","Onetime","Not Delivered","2001-01-31",
"106","Onetime","Delivered","2002-06-04",
"107","Annualy","Not Delivered","2004-11-02",
"108","Onetime","Delivered","2020-04-15",
"109","Onetime","Delivered","2008-06-27",
"110","Monthly","Delivered","2000-03-17",
"111","Monthly","Delivered","1995-08-16",
"112","Onetime","Not Delivered","1974-01-12",
"113","Annualy","Not Delivered","1975-07-27",
"114","Onetime","Delivered","2017-09-16",
"115","Onetime","Not Delivered","2000-03-20",
"116","Monthly","Not Delivered","1988-02-12",
"117","Onetime","Not Delivered","1988-05-23",
"118","Onetime","Delivered","1978-03-07",
"119","Onetime","Not Delivered","1971-10-29",
"120","Monthly","Not Delivered","1987-01-23",
"121","Onetime","Delivered","1985-12-03",
"122","Onetime","Delivered","1982-06-17",
"123","Monthly","Not Delivered","2015-10-19",
"124","Annualy","Delivered","1970-07-07",
"125","Monthly","Not Delivered","2009-09-18",
"126","Onetime","Not Delivered","2000-10-21",
"127","Monthly","Delivered","1974-10-29",
"128","Onetime","Not Delivered","1980-01-31",
"129","Onetime","Not Delivered","1982-07-06",
"130","Annualy","Delivered","1977-10-31",
"131","Monthly","Not Delivered","1974-05-19",
"132","Monthly","Not Delivered","2005-06-01",
"133","Monthly","Delivered","2009-08-18",
"134","Monthly","Delivered","1986-04-21",
"135","Monthly","Not Delivered","1998-05-31",
"136","Annualy","Not Delivered","1992-08-09",
"137","Annualy","Not Delivered","2014-02-19",
"138","Annualy","Not Delivered","1981-08-04",
"139","Onetime","Delivered","2000-12-09",
"140","Onetime","Delivered","1994-10-31",
"141","Monthly","Delivered","1974-01-18",
"142","Monthly","Not Delivered","2004-09-05",
"143","Annualy","Not Delivered","1971-06-28",
"144","Onetime","Delivered","1981-10-02",
"145","Onetime","Not Delivered","1972-03-16",
"146","Annualy","Delivered","2007-02-27",
"147","Onetime","Not Delivered","2014-07-08",
"148","Onetime","Not Delivered","1975-09-19",
"149","Annualy","Delivered","1980-05-16",
"150","Onetime","Delivered","2010-11-21",
"151","Onetime","Delivered","1990-05-06",
"152","Monthly","Delivered","1991-08-15",
"153","Annualy","Delivered","1970-03-06",
"154","Onetime","Delivered","1990-09-22",
"155","Onetime","Not Delivered","2015-10-18",
"156","Annualy","Not Delivered","1980-01-16",
"157","Monthly","Delivered","1994-08-14",
"158","Onetime","Not Delivered","1987-08-02",
"159","Monthly","Delivered","2001-07-26",
"160","Annualy","Delivered","1994-07-17",
"161","Onetime","Delivered","1990-11-25",
"162","Annualy","Delivered","1989-12-23",
"163","Annualy","Delivered","1997-06-17",
"164","Monthly","Not Delivered","1975-06-07",
"165","Annualy","Delivered","2009-11-11",
"166","Monthly","Not Delivered","2005-05-07",
"167","Onetime","Not Delivered","2003-09-06",
"168","Onetime","Not Delivered","1996-06-23",
"169","Onetime","Not Delivered","1992-03-31",
"170","Annualy","Delivered","2017-03-24",
"171","Annualy","Not Delivered","1988-08-12",
"172","Monthly","Delivered","1978-03-18",
"173","Monthly","Delivered","1996-09-23",
"174","Onetime","Not Delivered","1982-11-09",
"175","Annualy","Not Delivered","2012-08-11",
"176","Onetime","Not Delivered","2015-01-23",
"177","Annualy","Delivered","1987-04-23",
"178","Annualy","Not Delivered","1985-03-12",
"179","Annualy","Delivered","1997-08-30",
"180","Onetime","Delivered","1974-08-09",
"181","Monthly","Delivered","2019-01-27",
"182","Monthly","Delivered","2011-10-19",
"183","Annualy","Not Delivered","1988-09-23",
"184","Monthly","Delivered","2007-02-02",
"185","Annualy","Delivered","1970-09-28",
"186","Onetime","Not Delivered","2011-08-24",
"187","Onetime","Delivered","2013-07-25",
"188","Onetime","Not Delivered","1973-08-12",
"189","Annualy","Delivered","2016-10-25",
"190","Onetime","Not Delivered","2013-03-30",
"191","Monthly","Not Delivered","1992-02-01",
"192","Annualy","Delivered","1978-07-13",
"193","Annualy","Delivered","1985-12-28",
"194","Monthly","Not Delivered","1995-01-27",
"195","Onetime","Not Delivered","1972-10-31",
"196","Monthly","Delivered","2000-03-28",
"197","Annualy","Delivered","2013-03-09",
"198","Monthly","Delivered","2002-06-13",
"199","Annualy","Delivered","1973-12-16",
"200","Onetime","Delivered","1984-01-09",
"201","Monthly","Delivered","1997-10-08",
"202","Monthly","Delivered","2014-02-18",
"203","Monthly","Delivered","1973-05-08",
"204","Annualy","Not Delivered","1987-08-07",
"205","Onetime","Delivered","2007-03-15",
"206","Monthly","Not Delivered","1994-07-27",
"207","Monthly","Delivered","1988-07-07",
"208","Monthly","Delivered","1987-04-27",
"209","Onetime","Delivered","2019-03-16",
"210","Onetime","Not Delivered","2013-12-13",
"211","Annualy","Not Delivered","2004-03-15",
"212","Monthly","Delivered","2018-05-23",
"213","Monthly","Delivered","1983-04-22",
"214","Monthly","Not Delivered","2002-05-14",
"215","Annualy","Delivered","2003-01-03",
"216","Onetime","Not Delivered","1984-05-25",
"217","Onetime","Delivered","1989-10-27",
"218","Onetime","Delivered","2003-04-19",
"219","Monthly","Not Delivered","1983-04-01",
"220","Annualy","Not Delivered","1978-10-17",
"221","Annualy","Delivered","1977-05-24",
"222","Onetime","Delivered","2012-03-27",
"223","Monthly","Delivered","1996-05-19",
"224","Monthly","Not Delivered","2007-11-23",
"225","Monthly","Delivered","2005-01-21",
"226","Monthly","Delivered","1996-05-07",
"227","Monthly","Not Delivered","1980-07-03",
"228","Monthly","Not Delivered","2011-02-25",
"229","Onetime","Not Delivered","1974-05-02",
"230","Monthly","Not Delivered","2003-02-09",
"231","Onetime","Not Delivered","2008-11-01",
"232","Onetime","Not Delivered","1995-07-25",
"233","Annualy","Delivered","2017-06-25",
"234","Monthly","Not Delivered","1993-12-15",
"235","Onetime","Delivered","2014-12-29",
"236","Monthly","Not Delivered","1986-08-20",
"237","Onetime","Not Delivered","1976-10-19",
"238","Monthly","Delivered","1979-02-04",
"239","Onetime","Delivered","2010-07-10",
"240","Annualy","Delivered","2016-09-03",
"241","Onetime","Delivered","1998-08-15",
"242","Onetime","Not Delivered","1997-01-23",
"243","Annualy","Not Delivered","2004-05-19",
"244","Monthly","Delivered","1996-12-01",
"245","Onetime","Delivered","1972-05-10",
"246","Monthly","Not Delivered","2001-06-09",
"247","Monthly","Not Delivered","1994-08-21",
"248","Annualy","Delivered","1990-12-06",
"249","Monthly","Not Delivered","2006-04-29",
"250","Onetime","Delivered","1989-11-21",
"251","Monthly","Not Delivered","1999-11-21",
"252","Monthly","Delivered","1999-07-21",
"253","Annualy","Not Delivered","1995-01-26",
"254","Annualy","Not Delivered","1984-08-25",
"255","Monthly","Delivered","1994-06-15",
"256","Onetime","Not Delivered","1971-06-25",
"257","Onetime","Delivered","2004-06-10",
"258","Onetime","Not Delivered","1992-05-26",
"259","Annualy","Not Delivered","2007-10-01",
"260","Monthly","Delivered","1981-04-15",
"261","Monthly","Delivered","2010-06-07",
"262","Annualy","Not Delivered","1989-04-24",
"263","Annualy","Not Delivered","1990-11-15",
"264","Annualy","Delivered","2005-10-25",
"265","Onetime","Delivered","1999-03-16",
"266","Onetime","Delivered","1984-09-23",
"267","Onetime","Not Delivered","2015-03-29",
"268","Monthly","Not Delivered","1999-06-07",
"269","Onetime","Delivered","1988-08-24",
"270","Onetime","Delivered","1970-02-04",
"271","Annualy","Delivered","2014-10-22",
"272","Annualy","Not Delivered","1987-06-03",
"273","Onetime","Not Delivered","1996-02-05",
"274","Onetime","Not Delivered","1974-03-20",
"275","Onetime","Delivered","1971-01-14",
"276","Onetime","Not Delivered","1981-12-11",
"277","Annualy","Delivered","1990-02-04",
"278","Onetime","Delivered","2001-07-27",
"279","Onetime","Not Delivered","2016-07-07",
"280","Monthly","Not Delivered","1975-07-11",
"281","Onetime","Delivered","2007-12-12",
"282","Annualy","Not Delivered","1982-09-25",
"283","Annualy","Not Delivered","1971-03-24",
"284","Monthly","Delivered","1989-08-19",
"285","Onetime","Not Delivered","1999-05-07",
"286","Onetime","Delivered","1990-06-13",
"287","Onetime","Not Delivered","1981-03-17",
"288","Onetime","Delivered","2019-03-08",
"289","Monthly","Not Delivered","1987-06-09",
"290","Annualy","Not Delivered","2003-04-17",
"291","Onetime","Not Delivered","1982-04-17",
"292","Annualy","Not Delivered","2016-02-27",
"293","Monthly","Not Delivered","1977-07-25",
"294","Monthly","Not Delivered","1990-01-27",
"295","Onetime","Not Delivered","1997-06-11",
"296","Monthly","Delivered","1983-09-20",
"297","Onetime","Delivered","2006-08-30",
"298","Monthly","Delivered","1991-12-26",
"299","Annualy","Not Delivered","1986-01-21",
"300","Onetime","Not Delivered","1980-02-29",
"301","Annualy","Not Delivered","2014-02-01",
"302","Annualy","Delivered","2009-03-07",
"303","Onetime","Not Delivered","1987-11-09",
"304","Monthly","Delivered","1987-05-10",
"305","Annualy","Delivered","1996-07-05",
"306","Annualy","Not Delivered","2014-05-08",
"307","Annualy","Delivered","2011-01-12",
"308","Onetime","Not Delivered","1988-05-09",
"309","Annualy","Not Delivered","1976-08-25",
"310","Onetime","Not Delivered","1997-09-13",
"311","Monthly","Not Delivered","1985-06-10",
"312","Monthly","Not Delivered","1973-01-16",
"313","Annualy","Not Delivered","1993-03-12",
"314","Onetime","Delivered","1998-01-07",
"315","Onetime","Delivered","1997-05-19",
"316","Annualy","Not Delivered","2010-10-04",
"317","Onetime","Not Delivered","1977-10-09",
"318","Onetime","Not Delivered","2012-08-15",
"319","Monthly","Not Delivered","1981-06-10",
"320","Monthly","Delivered","2013-07-24",
"321","Monthly","Delivered","1997-02-09",
"322","Onetime","Not Delivered","1974-09-02",
"323","Onetime","Not Delivered","2001-11-13",
"324","Onetime","Delivered","2013-09-03",
"325","Annualy","Delivered","1988-01-06",
"326","Onetime","Not Delivered","2018-06-16",
"327","Monthly","Not Delivered","2009-12-13",
"328","Monthly","Delivered","1998-04-05",
"329","Annualy","Not Delivered","2020-04-24",
"330","Monthly","Delivered","2007-08-08",
"331","Monthly","Delivered","1989-01-23",
"332","Monthly","Delivered","2003-10-29",
"333","Monthly","Delivered","1992-07-30",
"334","Monthly","Delivered","1991-09-06",
"335","Annualy","Delivered","1973-02-05",
"336","Onetime","Delivered","1978-02-09",
"337","Onetime","Not Delivered","2019-08-21",
"338","Annualy","Not Delivered","2002-12-09",
"339","Monthly","Delivered","1983-10-29",
"340","Monthly","Not Delivered","2014-04-17",
"341","Monthly","Delivered","1995-02-25",
"342","Annualy","Not Delivered","2017-07-11",
"343","Monthly","Delivered","2017-09-09",
"344","Annualy","Not Delivered","2007-10-10",
"345","Onetime","Delivered","1993-04-27",
"346","Onetime","Delivered","1982-01-19",
